country,week,cases_w,deaths_w,deaths_w_back2w,dcfr,ifr_low_w,ifr_med_w,ifr_high_w,det_frac_low,det_frac_med,det_frac_high,inf_death_low,inf_death_med,inf_death_high,inf_case_low,inf_case_med,inf_case_high
united kingdom,2020-11-08,157302.0,2710.0,3395.0,0.021582688077710393,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.6156385737820157,0.8492419573118927,1.0,255510.30539502422,185226.36410700707,141439.86323968018,255510.30539502425,185226.3641070071,141439.86323968018
united kingdom,2020-11-15,177539.0,3110.0,3412.0,0.019218312596105645,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.6913788731501961,0.953721830442125,1.0,256789.7384411849,186153.8598919317,142148.10408653572,256789.7384411849,186153.85989193173,142148.10408653572
united kingdom,2020-11-22,142908.0,3395.0,3150.0,0.022042152993534302,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.6028056928214454,0.8315396537054845,1.0,237071.4173768266,171859.51308897565,131232.86279970326,237071.41737682663,171859.51308897563,131232.86279970326
united kingdom,2020-11-29,105499.0,3412.0,3341.0,0.031668546621294986,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.4195688379841539,0.5787737746967473,0.7579487103003014,251446.22395427863,182280.2010254818,139190.15702025668,251446.22395427863,182280.20102548177,139190.1570202567
united kingdom,2020-12-06,106335.0,3150.0,3754.0,0.03530352188837166,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.3763685489667897,0.519181183257641,0.6799076348414321,282528.92089924036,204812.89274159193,156396.2434762178,282528.92089924036,204812.89274159193,156396.2434762178
united kingdom,2020-12-13,126714.0,3341.0,4547.0,0.03588395915210632,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.3702806384942563,0.510783221814334,0.6689098593315772,342210.7094642637,248077.84317954676,189433.59592071452,342210.7094642637,248077.84317954676,189433.59592071452
united kingdom,2020-12-20,191713.0,3754.0,5474.0,0.028553097599015195,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.4653482957660614,0.641924197667401,0.840649039406617,411977.4408637298,298653.642745731,228053.55268748433,411977.4408637298,298653.642745731,228053.55268748433
united kingdom,2020-12-27,249142.0,4547.0,7281.0,0.029224297790015334,0.01328713530654374,0.018328924267166823,0.024003134068695503,0.45466054999902766,0.6271809984576949,0.8213416876998949,547973.6475938649,397240.98882566084,303335.38858559984,547973.647593865,397240.9888256609,303335.38858559984
united kingdom,2021-01-03,367456.0,5474.0,9350.0,0.025445223373682834,0.013305959877295648,0.01968115906507276,0.026517480546424936,0.5229256462750321,0.7734716561941579,1.0,702692.6344452745,475073.64627691114,352597.60004841635,702692.6344452745,475073.6462769111,352597.6000484163
united kingdom,2021-01-10,418655.0,7281.0,9508.0,0.022710823948119574,0.013305959877295648,0.01968115906507276,0.026517480546424936,0.5858862676092984,0.866598196086247,1.0,714567.0126530128,483101.6287487563,358555.9338246356,714567.0126530128,483101.6287487563,358555.9338246355
united kingdom,2021-01-17,324415.0,9350.0,8092.0,0.02494335958571583,0.013305959877295648,0.01968115906507276,0.026517480546424936,0.5334469814128605,0.7890340111339075,1.0,608148.5345380921,411154.64659601764,305157.19567826577,608148.5345380921,411154.64659601764,305157.19567826577
